Baustein-oa,will-mo
Regenbogen-pnc,März-nk
Mohring-sb,Landtag-nk
Kirsten-sb,ließen-cj
Deutschland-nk,breitet-ROOT
Iran-nk,warf-ROOT
Unternehmen-nk,sorgten-ROOT
Hysterie-sb,vorbereitet-oc
US-Elektroautobauer-sb,kann-ROOT
CDU-nk,erhalten-oc
Wahlkampf-Argument-nk,machte-ROOT
Züge-sb,leidet-oc
Absprachen-oa,informiert-oc
Hauptsache-sb,Land-nk
Carrell-sb,SPIEGEL-Interview-nk
Paradiesdienst-nk,bringen-oc
Fei-pnc,Ereignis-nk
Globus-nk,abkühlen-oc
Aufmerksamkeit-oa,galt-ROOT
Foto-sb,Protesten-nk
Videoaufzeichnungen-sb,TSG-Spiel-nk
Kante-sb,redete-ROOT
Corona-Fällen-nk,ausgehen-oc
Liste-nk,finden-ROOT
Menschen-sb,gab-ROOT
Kim-sb,Angst-oa
George-pnc,Ausschwitz-nk
Madrid-nk,fand-ROOT
Jahr-nk,lebten-ROOT
Salihamidžić-nk,gelaufen-oc
Pubertät-nk,sorgt-ROOT
Ruhe-nk,unterstützen-oc
Stadtsekretär-oa,erdolcht-mo
Papier-nk,entwirfst-mo
Betrachter-sb,dürfte-ROOT
Civey-pnc,können-cj
Beteiligten-sb,gesetzt-cj
Gefahr-sb,Droht-ROOT
Menschen-sb,Alltag-nk
Deutschland-nk,abgelegt-oc
Entwicklungen-nk,können-mo
Danzer-sb,Benefizkonzert-oa
Bayern-nk,standen-ROOT
Fox-sb,Zusammenhang-nk
Vokabular-oa,geführt-oc
Vorfällen-nk,können-ROOT
Zelle-nk,abgreifen-mo
E-Mobil-sb,Reihe-nk
Mitte-nk,übertragen-oc
Schnitt-nk,tun-ROOT
Kontakt-oa,gebe-ROOT
Einführung-sb,Anhänger-oa
Verhoeven-sb,darf-ROOT
Sitzungen-nk,staune-ROOT
Arbeit-nk,gesagt-oc
Spanien-sb,sagte-ROOT
Vorzeigefrau-nk,kann-ROOT
Titel-sb,März-nk
Thi-pnc,Südvietnamesin-oa
Land-sb,Juli-nk
Schmadtke-sb,Fällen-nk
Flöten-nk,spannte-rc
Final-pnc,verkauft-oc
Asien-nk,sackte-ROOT
Bücher-sb,lesen-ROOT
Tiere-sb,gehen-ROOT
Woche-nk,gestorben-cj
SPIEGEL-Informationen-nk,handelt-ROOT
Liedermacher-sb,Lebenskonzept-nk
Morgen-nk,drohte-ROOT
Fotos-sb,Schwarz-Weiß-nk
Christian-pnc,Pressekonferenz-nk
Menschen-sb,Stadion-nk
Amt-sb,sprach-ROOT
Toni-pnc,Regen-nk
Fernsehen-nk,erschließt-ROOT
Nummer-nk,spielt-ROOT
Gehirne-oa,scannten-ROOT
Begebenheit-nk,handelt-ROOT
Scheuer-nk,sagte-ROOT
Menschen-sb,nahmen-ROOT
Tat-sb,gibt-cj
Cesare-nk,gesteckt-cj
Berufsverkehr-nk,können-oc
Jahr-nk,verglichen-ROOT
Gratis-Transport-oa,gehen-oc
Fälle-sb,verlaufe-cj
Nordvietnam-sb,USA-nk
Anschläge-sb,Halle-nk
Hand-nk,äußerte-ROOT
Brasilianer-sb,erzielte-ROOT
Tränen-sb,schien-ROOT
Morrison-sb,bekam-ROOT
Bayern-Anhängern-nk,stehen-ROOT
Manni-pnc,brachten-ROOT
Lil-pnc,behauptete-ROOT
Seiten-sb,Schritt-oa
Elon-pnc,Musk-nk
Tonne-sb,Stunde-nk
Wärmesinn-oa,aktiviert-oc
April-nk,wirkt-ROOT
Wolfgang-pnc,machte-oc
Mund-nk,Droht-ROOT
Messe-nk,glaubt-ROOT
Beteiligten-sb,aufgeführt-oc
Fall-nk,riet-ROOT
Wissenschaftler-sb,Ländern-nk
Liedermacher-sb,Sole-nk
Coachings-nk,dürfen-ROOT
Tönen-nk,schwärmte-ROOT
Emotionen-nk,verwenden-ROOT
Rummenigge-sb,ducken-ROOT
Gefühle-oa,gibt-oc
Mitarbeiter-oa,arbeiten-oc
Final-pnc,Release-nk
Italien-nk,abgesagt-oc
Trash-Talk-sb,kann-ROOT
Unternehmen-sb,sagt-ROOT
Buzyn-sb,machte-ROOT
Patient-sb,teilte-ROOT
Psychologie-oa,studierte-ROOT
Schauspielerin-nk,kam-ROOT
Schickeria-sb,Jobs-nk
Rolle-nk,verstarb-cj
ÖPNV-sb,sagt-ROOT
Team-nk,starten-oc
Theaterstück-oa,lebe-rc
Mediziner-pnc,warnte-ROOT
Turnieren-nk,heißt-ROOT
Bild-sb,machte-ROOT
Vorbereitung-nk,gehörte-ROOT
Betrieb-sb,heißt-ROOT
Traum-sb,Kühlschrank-oa
Infektionen-sb,verursachen-oc
EU-Diplomaten-sb,Türkei-oa
Unternehmen-sb,handeln-oc
Öffentlichkeit-sb,liegt-ROOT
Hoffenheim-oa,greift-cj
Schloss-pnc,Schwester-nk
Richard-pnc,Baldwin-nk
Polizei-sb,bastelt-re
Infektionskrankheiten-oa,gibt-ROOT
Staat-sb,Markt-nk
Antworten-nk,interessieren-ROOT
Bayern-sb,Dienstag-nk
Raum-nk,zeigte-ROOT
Kinder-sb,Erwachsenen-oa
Globoterisierung-sb,Austausch-oa
Schiedsrichter-nk,haderte-ROOT
Gabriel-sb,Fanbelange-nk
CDU-nk,tat-ROOT
Spiele-sb,Italien-nk
Petra-pnc,empfahl-oc
–-oa,teilen-ROOT
Klausel-sb,greift-oc
Delluc-nk,gefunden-oc
Plakate-oa,sagte-ROOT
Sommer-nk,könnte-ROOT
Verhoeven-sb,Satire-nk
Film-nk,basiert-ROOT
Impuls-sb,kommen-oc
Ökonom-nk,sagte-ROOT
Menschen-nk,möchten-rc
Rückschau-nk,verstand-ROOT
Welt-oa,wollen-ROOT
Jens-pnc,verglich-ROOT
Flight-pnc,Wirtschaftskrise-nk
Drosten-sb,infiziere-mo
Hidalgo-sb,kritisiert-oc
Rufe-sb,gibt-oc
Ansatz-sb,könnte-ROOT
Rolle-oa,könnte-ROOT
Betrieb-nk,eingeschätzt-oc
Miete-sb,Februar-nk
Flick-sb,Spiel-nk
Michael-pnc,führte-rs
Ronaldo-sb,Spiel-oa
Vereine-sb,Ablehnung-nk
Years-pnc,gibt-ROOT
Urteile-oa,anzweifelte-oc
Royal-pnc,wechselte-ROOT
Virus-sb,gelang-ROOT
Wege-nk,angesteckt-oc
Marke-nk,lag-ROOT
Rundfunk-nk,geht-ROOT
Fußball-sb,überlebt-oc
Opfer-nk,kamen-ROOT
DFB-sb,greift-oc
Moderatorin-sb,Wontorra-nk
Expertenkommission-oa,regt-ROOT
Original-nk,führte-ROOT
Bausch-sb,Verkehrsmittel-oa
Investitionen-nk,einnehmen-rc
of-pnc,Kritiker-Sicht-nk
Vorfall-nk,schäme-ROOT
Anschläge-sb,aufgeschreckt-oc
China-nk,erwarte-ROOT
Umsatz-sb,Supermärkten-nk
Kreuz-oa,hängen-oc
Hoffnung-nk,schreibt-ROOT
Michael-pnc,gehört-ROOT
Ökonom-sb,Gütern-nk
Jahr-nk,auftrat-rc
Civey-sb,mobilen/stationären-nk
Jasper-pnc,Baum-nk
Georg-pnc,Denken-ROOT
Student-sb,Schreibtisch-oa
Johannes-pnc,Papst-nk
–-nk,gehöre-oc
Wendler-sb,bereuen-oc
Ergebnis-nk,untersagt-oc
Weg-oa,sucht-ROOT
Ökostrom-sb,Monats-nk
Hurra-sb,Regierungen-nk
Regierung-sb,Schulen-nk
Grafik-sb,enttäuschte-ROOT
Region-sb,Krankenhaus-nk
Sitzungsvertretung-oa,dürfte-ROOT
Religion-nk,tue-oc
Sonntag-nk,mitteilte-mo
Familienumfeld-nk,brachte-ROOT
Arbeitstage-sb,können-ROOT
Ebene-nk,stehen-ROOT
Leistung-sb,Bayern-Kurve-nk
PR-Fotos-sb,drohen-ROOT
Kinobesuche-sb,gingen-ROOT
Frank-pnc,Teil-nk
Grundgefühle-sb,merkt-ROOT
Account-oa,schaffen-re
Staus-sb,setzt-ROOT
Beweggründe-sb,Finanzklasse-nk
Austria-nk,verstarb-ROOT
Ausbruch-nk,kritisiert-oc
Cardenal-sb,starb-ROOT
Yusra-pnc,Südsudan-nk
Verhoeven-sb,Sven-nk
Verhoeven-sb,Bühne-nk
Leute-sb,Experiment-oa
Frage-sb,Kante-oa
Daniel-pnc,drückten-ROOT
Epoche-oa,lernten-ROOT
Rennradlenker-sb,Tischgestell-nk
Unsicherheit-nk,zeigt-ROOT
Woche-nk,sehe-ROOT
Kim-sb,Behördenseiten-oa
Unternehmen-nk,bemüht-ROOT
Laschet-sb,konnten-ROOT
Zusammenarbeit-nk,ausgeschlagen-oc
Lesereisen-sb,Friedenspreis-nk
Iwans-sb,begingen-ROOT
Zahlen-sb,Seite-oa
Menschen-sb,gestorben-cj
Geschmacklosigkeit-oa,ändern-oc
Kommunalwahlen-sb,Verfügung-nk
Restaurant-sb,Durniok-nk
Beispiel-nk,funktionieren-ROOT
Bodo-pnc,tritt-ROOT
Marc-André-sb,kam-mo
Business-Leute-nk,gehört-oc
Medien-sb,Sensation-oa
Abstand-oa,halten-sb
Geld-sb,Wandels-nk
Cesare-sb,Gassen-oa
Dagover-nk,übernehmen-oc
Luftverschmutzung-nk,sagte-ROOT
Spiel-nk,tobte-ROOT
Gründung-oa,zusammenarbeiten-cj
Problemen-nk,gehört-ROOT
Josephine-sb,Samstag-nk
Blick-nk,zeigt-ROOT
Kinderarzt-sb,sagt-ROOT
Transformation-nk,einsetzt-mo
SPD-sb,Verbrechen-nk
Kim-sb,könnten-oc
Aktionen-nk,sympathisieren-cj
Stimmung-sb,bezichtigte-cj
Kontakt-nk,reagieren-oc
Marika-pnc,Theater-nk
SPD-sb,Rassismus-oa
Gipfel-sb,stattfindet-re
Welt-oa,hergezeigt-oc
Praxis-sb,anrufen-ROOT
Flug-oa,gebucht-oc
Uli-pnc,gesprungen-oc
Uhr-nk,weiterhelfen-oc
FPÖ-Politiker-sb,forcierten-nk
Proband-sb,trainierten-ROOT
Beispiel-nk,mahnt-ROOT
Strich-nk,orientiert-cj
Erich-pnc,Anton-nk
Klimaaktivistin-nk,drohen-ROOT
Opposition-sb,Freiheitsstrafe-oa
Zweikampf-nk,schaute-ROOT
Gemächt-nk,kommt-ROOT
AS-pnc,bringen-oc
Topfmodel-oa,eingefroren-oc
Rolle-oa,durchkam-sb
Mitarbeiter-oa,aufgewachsen-oc
Euro-nk,kommt-cj
Gefühle-oa,aufregt-re
Schalke-sb,DFB-Pokal-nk
Hans-pnc,Caligari-nk
GIs-sb,Südvietnamesin-oa
Drücker-nk,darf-ROOT
Flugzeuge-sb,Betrieb-oa
Civey-nk,können-ROOT
Präsident-sb,Tempolimit-nk
Sophie-pnc,bestehen-ROOT
Schulen-nk,geht-cj
Wahlkampf-oa,Glauben-ROOT
Öffentlichkeit-sb,Patientin-nk
Bürgermeisterwahlen-nk,sprang-ROOT
Pocher-sb,sah-ROOT
Merkur-sb,Behandlung-nk
Gesicht-nk,fragt-cj
Monat-oa,verlängert-ROOT
Kavala-nk,brachte-cj
Kinder-sb,Coronavirus-nk
Schlaf-nk,lesen-oc
Olaf-pnc,Papier-nk
Reduktionsrate-sb,zugenommen-oc
Prozent-oa,absolvieren-oc
Bayern-sb,gewusst-oc
Börsen-sb,Millionensummen-oc
Access-nk,erscheinen-oc
Ermittlungen-oa,einleiten-oc
Finanzklasse-nk,steht-ROOT
Likes-oa,erhielt-ROOT
Bezügen-nk,probieren-ROOT
Objekt-sb,Haushunde-oa
Augen-nk,zeigten-rc
Jesu-nk,will-ROOT
Nils-pnc,China-nk
Zahl-sb,Krankheitswelle-nk
Personen-sb,Siebzigjähriger-nk
Kinoprojekt-oa,konnte-rs
Design-sb,Ego-nk
Prozent-nk,sinken-oc
Forscher-sb,überprüft-oc
CO2-nk,sinken-ROOT
Problem-sb,Schmied-nk
Regie-sb,starten-ROOT
Danzer-sb,führte-ROOT
Widerstand-nk,verfilmte-nk
Sorge-nk,kommen-ROOT
Bedingung-nk,überzeugt-pd
Bedeutung-oa,sagt-ROOT
Veränderungen-oa,kann-ROOT
Beziehung-oa,weiß-ROOT
Tom-pnc,Rechtsstaat-nk
Instinkt-nk,entstand-rs
Fashion-nk,gab-ROOT
Geschäftsführer-nk,sagte-ROOT
Länder-oa,zeigen-oc
Filme-oa,getäuscht-oc
Ausbildung-sb,angleichen-oc
Terror-nk,nehmen-ROOT
Stichwortgeber-nk,glaube-ROOT
Design-sb,Stadt-nk
Liedermacher-nk,wollte-ROOT
Tesla-sb,Hand-nk
Wort-sb,Begriff-oa
Bundesfamilienministerin-sb,müssen-ROOT
Welt-sb,gibt-rs
Zahlen-nk,wollen-ROOT
Mario-pnc,Adorf-nk
Verständnis-oa,sagte-ROOT
Frontex-Beamte-sb,sank-ROOT
Drive-Thru"-Testzentren-oa,aufgebaut-oc
Nordteil-nk,trägt-ROOT
TSG-sb,führten-rc
Länder-sb,Reise-oa
Gabriel-sb,gehört-ROOT
Black-pnc,schlossen-ROOT
Staatsanwalt-sb,stand-mo
Gegenspieler-sb,spielten-ROOT
Teile-sb,Fanszene-nk
Milliarden-sb,zugutekommen-rc
Prozent-sb,Bund-nk
Gutes-oa,messen-oc
Luxemburg-nk,kommentiert-ROOT
Animositäten-sb,fordern-oc
Part-sb,fehlte-ROOT
Belliard-sb,kommt-ROOT
Lebensstil-oa,assoziieren-ROOT
Million-nk,geklaut-oc
Vietcong-sb,sahen-ROOT
Beziehung-nk,gemacht-oc
Kauf-nk,unterstützen-oc
Rom-nk,infiziert-pd
Mutter-sb,Erfahrungen-oa
Krise-nk,stecke-re
Sauerstoff-nk,versorgen-mo
Kanzlerin-nk,sagte-ROOT
Olympia-Bronze-oa,gewann-ROOT
Krise-sb,bremst-ROOT
Märkte-nk,könnte-rc
Alfred-pnc,Debüt-oa
Gefühle-oa,zeigten-ROOT
Kombination-sb,könnten-ROOT
Sprung-nk,weiß-ROOT
Sonntagabend-nk,fragte-mo
Entwicklung-oa,abflauen-mo
Kritik-oa,sagte-ROOT
Sprache-sb,Welt-nk
Frau-oa,dergleichen-oc
Leute-nk,bringen-oc
Tagen-nk,gelte-ROOT
Millionen-sb,Bundesbürgern-nk
Menschen-oa,lastet-sb
Risiko-oa,erhöhe-rc
Wahrheit-sb,stand-ROOT
Grindel-nk,ließ-ROOT
Schlagzeilen-nk,verdrängt-oc
Caligari-nk,befindet-ROOT
Staatsanwältin-sb,trägt-rc
Tor-nk,erwartet-oc
Einzelhandel-sb,stieg-ROOT
suedkurve-muenchen.org-nk,verteidigten-ROOT
Emotionen-sb,brachte-ROOT
Hofmeister-sb,Bundesvereinigung-nk
Stadtpolizei-oa,sucht-ROOT
Grenzen-oa,abzusagen-re
Hoffenheim-nk,dulden-oc
Aylward-nk,leiden-ROOT
Eco-sb,tun-ROOT
Machtergreifung-nk,heiratete-ROOT
Freeman-nk,konnte-ROOT
Menschen-nk,spricht-ROOT
Gesunden-nk,kommen-cj
Spaß-oa,veränderte-cj
Gott-oa,soll-oc
SPIEGEL-Interview-nk,gefragt-oc
Adressaten-sb,Ausdrucksform-nk
Experiment-oa,freut-ROOT
Cesare-sb,hält-ROOT
Spielunterbrechungen-nk,anzusehen-oc
Menschen-sb,Rose-nk
Kitase-sb,Bezüge-oa
Black-pnc,Xen-nk
Statistik-sb,Karte-oa
Led-pnc,Columbiahalle-nk
Verzerrungen-sb,Heilung-nk
Thema-oa,sagt-ROOT
NPD-sb,Internet-oa
Schwarz-Weiß-nk,steht-ROOT
Beamten-sb,befragen-ROOT
Borussia-nk,gibt-ROOT
Marie-pnc,Kortright-nk
Erfolg-sb,hängt-ROOT
Folgen-oa,Führt-ROOT
Frau-nk,legte-nk
Coronaviren-sb,aufgelistet-oc
Spielabbruch-oa,müsste-ROOT
Black-pnc,Ende-nk
Gefahr-sb,sagte-ROOT
Plan-sb,Kickers-nk
Hartmut-pnc,Deutschen-nk
Gründe-sb,Stromkosten-oa
Programm-sb,glaubt-ROOT
Sei-nk,schrieb-ROOT
Samstag-nk,losgegangen-oc
Tag-nk,erkrankt-oc
Annahmen-nk,liegen-ROOT
Team-sb,Engels-nk
Ergebnisse-sb,stützen-ROOT
Atemwege-oa,befallen-oc
Mittellinie-nk,hinausgeschossen-oc
Jahreszeit-nk,sagt-ROOT
Buzyn-sb,Kandidatin-nk
Mutter-sb,Äußerung-nk
Hak-joon-sb,wollen-cj
Verbindungen-nk,konnte-ROOT
Mitarbeiter-sb,Civey-nk
Bananenpampe-oa,müssen-ROOT
Mitarbeiter-sb,Schulungen-oa
Lieferstrukturen-sb,Woche-nk
Stadiondurchsage-oa,gab-ROOT
Kampfsystem-sb,mutet-cj
Ego-nk,nachdachte-cc
Freiheitsstrafe-oa,erwarteten-ROOT
Panik-oa,verlieh-cj
Flight-pnc,ausgewirkt-nk
Profil-nk,beschränkt-oc
Josephine-sb,Ruhe-nk
Finanzklasse-sb,Hinblick-nk
Narzissmus-nk,kreist-rc
Börsen-oa,abstürzen-oc
Drehbuchautoren-sb,Hitler-nk
Neuer-sb,Ereignisse-oa
Windräder-oa,erzeugten-cj
Makavejev-oa,erzählte-ROOT
Favoriten-sb,gaben-rc
Situation-sb,häuften-ROOT
New-pnc,sprach-ROOT
Sicherheitsgefühle-oa,begann-cj
Coronavirus-oa,setzte-ROOT
Internat-nk,geschickt-oc
Horst-pnc,Form-nk
“-sb,Arbeit-nk
Einfluss-nk,erklärt-ROOT
Anti-Auto-Politik-sb,Prozent-oa
Black-pnc,funktioniert-ROOT
DFB-sb,geschaffen-oc
Ärger-sb,flüchten-re
Foto-sb,Saigon-nk
RB-pnc,gilt-cj
Datenschutzerklärung-nk,können-ROOT
Welt-nk,stößt-ROOT
Rolle-nk,setzt-mnr
Mund-nk,gefallen-oc
USA-nk,währte-ROOT
Remakes-sb,gelten-ROOT
Verletzung-oa,liegen-oc
Grenzschließungen-nk,kommt-ROOT
Werner-pnc,deutete-ROOT
Präsentation-nk,erfüllte-ROOT
Pocher-sb,dauert-ROOT
Temperatur-oa,kursiert-ROOT
Fendrich-sb,Chor-nk
Aktion-nk,kamen-ROOT
Gähnen-sb,reicht-ROOT
Fanszenen-nk,steht-ROOT
Hypnotiseur-oa,deutete-ROOT
Citizens-pnc,engagierte-ROOT
Hinweis-nk,anrufen-ROOT
Geschichten-oa,hielt-cj
Südkorea-sb,Infektionen-oa
Civey-Nutzer-sb,manipuliert-oc
Land-nk,feststellen-ROOT
Senta-pnc,zeigt-ROOT
Einschüchterung-oa,dienten-ROOT
Essen-oa,beherrscht-ROOT
Universität-nk,arbeitet-ROOT
Art-nk,erschien-cj
Bundesfinanzminister-sb,zeigt-ROOT
"-pnc,verfolgten-rc
“-sb,kommentiert-ROOT
Wuhan-nk,bedeutet-ROOT
Alizadeh-oa,sagte-ROOT
Mitarbeiter-sb,stehen-ROOT
60-Jährige-sb,Wochen-nk
Angst-nk,betrachten-oc
Finanzwesen-nk,kann-ROOT
Mann-sb,verschwand-ROOT
Krankheit-sb,könnten-ROOT
Zeit-nk,behaupten-cj
of-pnc,arbeitet-ROOT
Rechtsradikale-oa,nutzen-oc
Freund-sb,Alan-nk
Arbeit-oa,zeigt-ROOT
Menschen-sb,gibt-ROOT
Schwachpunkt-nk,wirkte-mo
Nachmittag-sb,Ende-nk
Zuschauer-sb,Zoopalast-nk
Eco-sb,unterscheidet-ROOT
Menschen-sb,Millionenstadt-nk
Orte-sb,Tage-nk
Freeman-sb,begibt-mo
Botschaft-sb,Bilder-oa
Plattform-sb,pflegte-rc
Kraft-oa,helfen-oc
Platz-oa,verließen-mo
Half-Life"-Remake-oa,sollte-ROOT
Fußwegen-nk,beitragen-oc
Sprache-nk,einschüchtern-cj
Handeln-sb,durchziehen-oc
Bundesverfassungsgericht-nk,ging-rc
Wahlkampferfahrung-nk,verfügt-ROOT
Merz-nk,stellte-ROOT
Kalayci-sb,Montag-nk
Hersteller-sb,scheint-ROOT
FFP2-subtok,Euro-nk
Erna-nk,Darf-ROOT
DFB-sb,Freitag-nk
Uhrengehäuse-sb,geben-oc
Jürgen-pnc,Wien-nk
Civey-Umfrage-nk,gehören-ROOT
Büfett-nk,angesteckt-oc
Albums-nk,beschäftigen-ROOT
Montag-nk,vorliegt-rc
Lesbos-nk,teilte-ROOT
Rainhard-pnc,geboren-oc
Hurra-sb,einsetzen-cj
Luxemburger-sb,Nordteil-nk
Betriebe-sb,abzusagen-re
Emma-sb,Paperlapapp-oa
Fans-oa,geben-oc
Mediziner-pnc,Hamsterkäufen-nk
Reis-sb,Comeback-oa
Film-sb,Uraufführung-nk
Rückkehr-nk,finanziert-cj
Dax-Exit-pnc,überprüft-ROOT
Experimente-sb,Teams-nk
Situation-oa,beschreibt-ROOT
Corona-nk,frage-ROOT
Satelliten-sb,Tagen-nk
Landes-CDU-sb,Linie-nk
Anders-pnc,schickte-oc
Set-nk,nahm-ROOT
Hunde-sb,Wärmestrahlung-oa
Verkehrsnetz-sb,Mitschuld-oa
Aktion-nk,sagte-ROOT
Rio-pnc,konnten-rc
E-Mails-oa,texten-cj
Robert-pnc,legte-ROOT
Fans-sb,meldeten-ROOT
Corona-sb,angekommen-oc
Mesa-sb,Schwäche-oa
Bundesregierung-sb,Coronavirus-nk
Handys-sb,Finale-nk
Nachrichten-sb,Bildern-nk
Februar-nk,belegt-oc
Leistung-sb,Fans-nk
StudiVZ-Nutzer-sb,Jahren-nk
Kopftuch-sb,GG-nk
Teilnahme-oa,beantragen-nk
Refugee-sb,Flüchtlingsteam-nk
Kommunikation-sb,erklärte-ROOT
Fußballplätzen-nk,verunsichern-ROOT
Testlabor-sb,Industriegebiet-nk
Chaos-sb,Wurzeln-nk
Bastian-pnc,stoppte-nk
Mitarbeiter-sb,klingt-ROOT
Regierung-oa,ärgert-cj
Drosten-sb,Coronavirus-nk
Orbán-nk,wissen-ROOT
Wissenschaftler-sb,Körper-nk
Kabinen-nk,weitergehen-mo
Gratis-Transport-sb,Syprolux-nk
Jugendliche-sb,ansehen-mo
Benachteiligung-oa,kritisiert-oc
Manöver-nk,nennen-mo
Verhoeven-sb,Geschwister-nk
Ex-Ministerpräsident-sb,Voigts-nk
Montag-sb,Berlin-nk
Tesla-sb,Börse-nk
Haltestelle-sb,Ego-oa
Stimmung-sb,Wort-oc
Verhoeven-sb,zählen-ROOT
Auswirkungen-nk,kann-ROOT
Ort-oa,kann-rc
Eid-oa,soll-cj
Kontakte-oa,gehen-oc
Charaktere-sb,Version-nk
Huawei-Konzern-sb,unterscheidet-ROOT
Körpertemperatur-oa,überprüft-ROOT
Preise-nk,sollten-ROOT
Pingpong-nk,befragte-ROOT
Fragen-sb,Basis-nk
Region-sb,Fähigkeit-oa
Christopherus-sb,FH-nk
Menschen-sb,versuchen-ROOT
Austria-nk,benannt-ROOT
Film-oa,verhindern-oc
Collective-sb,Grund-nk
Mohring-nk,folgt-ROOT
Ortega-nk,distanzierte-ROOT
Februar-sb,geknackt-oc
Mentor-oa,verpflichtete-ROOT
Nachteil-nk,gespürt-oc
Reise-oa,buchen-oc
Anschlag-nk,spendete-ROOT
Siegeszug-sb,gingen-ROOT
WHO-nk,verlaufe-cj
Freundin-sb,Schlafzimmer-nk
The-pnc,behauptete-mo
Angaben-nk,Schritt-ROOT
Benutzen-nk,entsorgen-ROOT
Kanzlerin-sb,Gewicht-oa
Kanzlerin-sb,Merkel-nk
Fahrrad-nk,abschaffen-oc
Kunden-nk,müssen-ROOT
Stereotype-sb,zählen-ROOT
Umfragewerte-sb,bekommen-oc
Sanktionspalette-sb,Beigeschmack-nk
Beschäftigten-sb,Finanzindustrie-nk
Co-AfD-Chef-sb,AfD-nk
Merz-sb,sieht-ROOT
Ende-nk,vorlesen-cj
Hunderte-oa,begannen-ROOT
China-nk,sagte-ROOT
Art-subtok,mythologisiert-mo
del-pnc,brach-ROOT
Landtagswahl-nk,verlor-cj
Menschen-sb,hängt-ROOT
Coronavirus-nk,müssen-oc
Districts-nk,tragen-ROOT
Carl-pnc,Film-nk
Vietnamkrieg-oa,ging-cj
Amtsarzt-sb,begonnen-oc
Mensch-oa,zurückfinden-oc
Rezept-oa,verheiratet-pd
GmbH-nk,musste-oc
Not-)Vorrat-sb,Ernährung-nk
Winnie-sb,schob-ROOT
Appell-sb,zurückblickt-rc
Ackermann-sb,Leben-oa
Lombardei-nk,infiziert-pd
Migranten-sb,feststellen-ROOT
Zeit-nk,stößt-ROOT
Gefühl-sb,halten-oc
Realität-sb,wissen-ROOT
Männer-sb,versteckt-ROOT
Michael-pnc,Verhoeven-nk
Tragen-sb,Gesunde-nk
Alizadeh-sb,Januar-nk
Äußerung-nk,schrieben-ROOT
Einzelne-oa,schlug-ROOT
Szenarien-sb,liegen-ROOT
Buch-sb,geht-ROOT
Netzwerk-nk,ausgespielt-oc
Donnerstag-nk,müssen-oc
Identifizierungspflicht-sb,Sprache-oa
Vorfahren-sb,Droht-ROOT
Bayern-nk,wiedertreffen-oc
Margaritis-pnc,bereisten-ROOT
Militär-sb,dürfen-sb
Liedermacher-sb,landete-ROOT
Künstler-sb,Künstlergruppe-oa
Frau-sb,Haar-oa
Friedrich-pnc,Direktor-nk
Bundesstaat-nk,erlag-ROOT
Versuch-sb,wollte-ROOT
Frau-sb,Februar-nk
Kristalle-sb,füllen-ROOT
Internetkultur-sb,YouTube-Videos-oa
–-sb,trainiere-oc
Follow-nk,greift-ROOT
Austausch-sb,Daten-nk
Diagnose-sb,ging-ROOT
Schildenergie-oa,füllen-ROOT
New-pnc,Schlagwort-nk
Panorama-sb,wissen-ROOT
Benjamin-pnc,standen-ROOT
Kurzfilm-oa,machte-cj
Regisseur-sb,Wiene-nk
Finanzwesen-sb,tragen-ROOT
Fleiß-oa,glaube-ROOT
DTU-sb,Wunsch-oa
Horst-pnc,FC-nk
Anhänger-nk,zeigt-ROOT
Ronny-pnc,Mönchengladbach-nk
Grünen-nk,sagte-ROOT
Müller-nk,umlautet-ROOT
Beispiel-nk,weltoffen-pd
Berlin-nk,gilt-ROOT
Bundesfinanzminister-sb,Kabinett-nk
Idee-sb,Ausstattung-nk
Verkäuferin-sb,Flaschen-oa
Erwachsene-sb,passiert-ROOT
Stuhl-sb,verbessern-re
Taktik-sb,machte-ROOT
DFB-sb,abzusehen-cj
Image-nk,verhalten-oc
Globalisierungspartie-sb,kam-ROOT
Evans-subtok,vorspielte-oc
Diskriminierung-nk,Schritt-ROOT
Text-sb,verspürten-ROOT
Laschet-nk,hören-oc
Verkehrsministerium-sb,erwog-ROOT
Hintergrund-nk,kann-ROOT
Sophie-pnc,Hans-nk
College-pnc,–-nk
Verantwortung-sb,durchforsten-oc
Kim-pnc,versuchen-ROOT
Arbeit-sb,genommen-oc
Kontakt-oa,hielt-rc
Gehry-nk,aussteigen-oc
Wahlgängen-nk,setzte-ROOT
Designer-sb,Flos-nk
Weltruhm-nk,schrieb-ROOT
Buzyn-sb,Kommunalwahlen-nk
Simon-pnc,Analyse-oa
Kopftücher-sb,Unterschied-nk
Durchfall-nk,ähneln-cj
Erdogan-nk,aufgeschreckt-oc
Gesundheitskommission-sb,mitteilte-mo
Abkehr-sb,Artikel-nk
Anekdoten-sb,ranken-ROOT
Hoffenheimer-nk,kamen-ROOT
Cesare-nk,gespielte-nk
Elsa-nk,spielte-ROOT
Kopftuch-sb,könnte-cj
Verkehrsnetz-nk,weiß-ROOT
Georges-pnc,Sorge-oa
Francis-nk,erdolchen-oc
Emissionen-nk,könne-ROOT
Massenandrang-nk,stöhnen-ROOT
Caligari-sb,gibt-ROOT
Neuerungen-nk,zählen-ROOT
Schädel-nk,befreien-oc
Haysoms-pnc,enthauptet-oc
Bühne-oa,bietet-oc
Gordon-pnc,Welt-oa
o.k.-pnc,sorgten-rc
