German (de);Positive;Negative;Zorn;Erwartung;Ekel;Furcht;Freude;Traurigkeit;Überraschung;Vertrauen;
exquisit;1;0;0;0;0;0;0;0;0;0;
exquisit;1;0;0;0;0;0;1;0;0;0;
extra;1;0;0;0;0;0;0;0;0;0;
Extremität;0;1;0;0;0;0;0;0;0;0;
Exzellenz;1;0;0;0;1;0;1;0;0;1;
fabelhaft;1;0;0;0;0;0;1;0;0;0;
fabrizieren;0;1;0;0;0;0;0;0;0;0;
Fachwerk;0;0;0;0;0;0;0;0;0;1;
fade;0;1;0;0;0;0;0;0;0;0;
fade;0;1;0;0;0;0;0;0;0;0;
Fähigkeit;1;0;0;0;0;0;0;0;0;0;
Fähnrich;1;0;0;0;0;0;0;0;0;0;
Fahrer;1;0;0;0;0;0;0;0;0;0;
fahrlässig;0;1;0;0;0;0;0;0;0;0;
fahrlässig;0;1;0;0;0;0;0;0;0;0;
Fahrlässigkeit;0;1;0;0;0;0;0;0;0;0;
Fakten;1;0;0;0;0;0;0;0;0;1;
Fakultät;1;0;0;0;0;0;0;0;0;1;
Falke;0;0;0;0;0;1;0;0;0;0;
Fall;0;0;0;1;0;1;0;0;0;0;
Fall;0;1;0;0;0;1;0;1;0;0;
Falle;0;1;1;0;1;1;0;1;1;0;
Fallen;0;1;0;0;0;0;0;0;0;0;
fallen;0;1;0;0;0;0;0;1;0;0;
fallend;0;1;0;0;0;0;0;1;0;0;
Fallschirm;0;0;0;0;0;1;0;0;0;0;
falsch;0;1;0;0;0;0;0;0;0;0;
falsch;0;1;0;0;0;0;0;0;0;0;
falsch;0;1;0;0;0;1;0;0;0;0;
falsch;0;1;1;0;1;0;0;1;0;0;
falsch benennen;0;1;0;0;0;0;0;0;0;0;
falsch darstellen;0;1;0;0;0;0;0;0;0;0;
falsch darstellen;0;1;1;0;0;0;0;0;0;0;
Falschangabe;0;1;1;0;1;0;0;0;0;0;
Falschdarstellung;0;1;0;0;0;0;0;1;0;0;
Falschheit;0;1;0;0;1;0;0;0;0;0;
fälschlicherweise;0;1;0;0;0;0;0;0;0;0;
Fälschung;0;1;0;0;0;0;0;0;0;0;
Fälschung;0;1;0;0;0;0;0;0;0;0;
Fälschung;0;1;1;0;0;0;0;0;0;0;
faltig;0;0;0;0;0;0;0;1;0;0;
familiär;1;0;0;0;0;0;0;0;0;1;
Fan;1;0;0;0;0;0;1;0;0;1;
Fanatiker;0;1;0;0;0;0;0;0;0;0;
Fanatismus;0;0;0;0;0;1;0;0;0;0;
Fanfare;1;0;0;1;0;0;1;0;1;0;
Fang;0;0;0;0;0;0;0;0;1;0;
Fang;0;0;0;0;0;1;0;0;0;0;
Fänger;0;1;0;0;0;1;0;0;0;0;
fantasievoll;1;0;0;0;0;0;0;0;0;0;
Farce;0;1;0;0;0;0;0;0;0;0;
Farce;0;1;0;0;0;0;0;0;0;0;
Fasten;0;1;0;0;0;0;0;1;0;0;
Faszination;1;0;0;0;0;0;0;0;0;0;
faszinierend;1;0;0;0;0;0;0;0;0;0;
Fasziniert;1;1;0;0;0;0;1;0;0;0;
faul;0;1;0;0;0;0;0;0;0;0;
Faultier;0;1;0;0;1;0;0;0;0;0;
Favorit;1;0;0;0;0;0;1;0;0;1;
Feature;1;0;0;0;0;0;0;0;0;0;
Fegefeuer;0;1;0;0;1;1;0;0;0;0;
Fehde;0;1;1;0;0;0;0;0;0;0;
fehlbar;0;1;0;0;0;0;0;0;0;0;
fehlend;0;1;0;0;0;0;0;0;0;0;
Fehler;0;1;0;0;0;0;0;1;0;0;
Fehler;0;1;0;0;1;1;0;1;0;0;
fehlerhaft;0;1;0;0;0;0;0;0;0;0;
fehlerlos;1;0;0;0;0;0;0;0;0;1;
Fehlgeburt;0;1;0;0;0;1;0;1;0;0;
fehlgeleitet;0;1;0;0;0;0;0;0;0;0;
fehlgeleitet;0;1;0;0;1;0;0;0;0;0;
Fehlinterpretation;0;1;0;0;0;0;0;0;0;0;
fehlt;0;1;0;0;0;1;0;1;0;0;
Fehlverhalten;0;1;0;0;1;0;0;0;0;0;
Fehlverhalten;0;1;1;0;0;0;0;0;0;0;
Fehlverhalten;0;1;1;0;1;0;0;0;1;0;
Fehlverhalten;0;1;1;0;1;0;0;1;0;0;
Feier;1;0;0;1;0;0;1;0;1;1;
feiert;1;0;0;1;0;0;1;0;0;0;
feige;0;1;0;0;0;1;0;0;0;0;
Feigheit;0;1;0;0;0;1;0;0;0;0;
Feigling;0;1;0;0;1;1;0;1;0;0;
Feind;0;1;1;0;0;1;0;0;0;0;
Feind;0;1;1;0;1;1;0;0;0;0;
feindlich;0;1;1;0;0;0;0;1;0;0;
feindlich;0;1;1;0;1;1;0;0;0;0;
Feindschaft;0;1;1;0;0;1;0;1;0;0;
Feindseligkeit;0;1;1;0;1;0;0;0;0;0;
Feindseligkeit;0;1;1;0;1;1;0;1;0;0;
Feindseligkeiten;0;1;1;0;0;1;0;0;0;0;
Fender;0;0;0;0;0;0;0;0;0;1;
Ferien;1;0;0;1;0;0;1;0;0;0;
Ferment;0;1;0;1;0;0;0;0;0;0;
Fermentation;0;0;0;1;0;0;0;0;0;0;
Fertigstellung;1;0;0;1;0;0;1;0;0;0;
Fesseln;0;1;0;0;0;0;0;0;0;0;
fesselnd;1;0;0;0;0;0;0;0;0;0;
Fest;0;0;0;0;0;0;0;0;0;1;
Fest;1;0;0;1;0;0;1;0;1;0;
Festigkeit;1;0;0;0;0;0;0;0;0;1;
Festival;1;0;0;1;0;0;1;0;1;0;
festlich;1;0;0;0;0;0;1;0;0;0;
Festnahme;0;1;0;0;0;0;0;0;0;0;
Festung;1;0;0;0;0;1;0;1;0;1;
Fett;0;1;0;0;0;0;0;0;0;0;
Fett;0;1;0;0;1;0;0;1;0;0;
fett;0;1;0;0;1;0;0;1;0;0;
Fett gedruckt;1;0;0;0;0;0;0;0;0;0;
fettig;0;0;0;0;1;0;0;0;0;0;
fettleibig;0;1;0;0;1;0;0;0;0;0;
Fettleibigkeit;0;1;0;0;1;0;0;1;0;0;
feudal;0;1;0;0;0;0;0;0;0;0;
Feudalismus;0;1;1;0;0;0;0;1;0;0;
Feuer;0;0;0;0;0;1;0;0;0;0;
Feuer;0;1;1;0;0;0;0;0;0;0;
Feuerarme;0;1;1;0;0;1;0;0;0;0;
Feuerball;1;0;0;0;0;0;0;0;0;0;
feuerfest;1;0;0;0;0;0;0;0;0;0;
feuerfest;0;1;0;0;0;0;0;0;0;0;
Feuersbrunst;0;1;1;0;0;1;0;0;0;0;
Feuerstelle;1;0;0;0;0;0;0;0;0;0;
Feuerwehrmann;0;0;0;0;0;0;0;0;0;1;
Fiasko;0;1;0;0;0;0;0;0;0;0;
Fichte;1;0;0;0;0;0;0;0;0;0;
Fieber;0;0;0;0;0;1;0;0;0;0;
fiebrig;0;1;0;0;0;0;0;0;0;0;
fiebrig;0;1;0;0;0;0;0;0;0;0;
fiel;0;1;0;0;0;0;0;1;0;0;
Fiesta;1;0;0;1;0;0;1;0;1;1;
fiktiv;0;1;0;0;0;0;0;0;0;0;
Finesse;1;0;0;0;0;0;0;0;0;0;
Fischsuppe;1;0;0;0;0;0;0;0;0;0;
Flaggschiff;0;0;0;0;0;0;0;0;0;1;
flagrant;0;1;1;0;1;0;0;0;0;0;
Flansch;0;0;0;0;0;0;0;0;0;1;
flaumig;1;0;0;0;0;0;0;0;0;0;
Flaute;0;0;0;1;0;0;0;0;0;0;
Flaute;0;1;0;0;0;0;0;1;0;0;
Fleck;0;1;0;0;0;0;0;0;0;0;
Fleck;0;1;0;0;1;0;0;0;0;0;
Fleck;0;1;0;0;1;0;0;0;0;0;
Flehen;1;0;0;0;0;0;0;0;0;1;
Fleisch;0;0;0;0;1;0;0;0;0;0;
fleischfressende;0;1;0;0;0;1;0;0;0;0;
fleischig;0;1;0;0;0;0;0;0;0;0;
fleischlich;0;1;0;0;0;0;0;0;0;0;
Flexibilität;1;0;0;0;0;0;0;0;0;0;
fliegend;1;0;0;0;0;1;0;0;0;0;
fliehen;0;1;0;0;0;1;0;0;0;0;
Fliesen;1;0;0;0;0;0;0;0;0;0;
fließen;1;0;0;0;0;0;0;0;0;0;
Flirt;1;1;0;1;0;0;1;0;1;1;
Flitterwochen;1;0;0;1;0;0;1;0;1;1;
Flocke;0;1;0;0;0;0;0;0;0;0;
floh;0;0;0;0;0;1;0;0;0;0;
Floh;0;1;0;0;1;0;0;0;0;0;
Flop;0;1;0;0;1;0;0;1;0;0;
Flotte;1;0;0;0;0;0;0;0;0;0;
Fluch;0;1;1;0;1;1;0;0;0;0;
Fluch;0;1;1;0;1;1;0;1;0;0;
Fluchen;0;1;1;0;1;0;0;0;0;0;
Flucht;1;1;0;1;0;1;0;0;0;0;
fluchte;0;0;1;0;0;0;0;0;0;0;
flüchtig;0;1;0;0;0;0;0;0;0;0;
Flüchtling;0;0;0;0;0;0;0;1;0;0;
Flüchtling;0;1;1;0;1;1;0;1;0;1;
Flughafen;0;0;0;1;0;0;0;0;0;0;
Fluktuation;0;1;1;0;0;1;0;0;0;0;
Flunder;0;1;0;0;0;1;0;1;0;0;
Flunkerei;0;1;1;0;0;0;0;0;0;0;
Flut;0;0;0;0;0;1;0;0;0;0;
Fokus;1;0;0;0;0;0;0;0;0;0;
Folge;0;0;0;1;0;0;0;0;0;0;
Folter;0;1;1;1;1;1;0;1;0;0;
förderlich;1;0;0;0;0;0;0;0;0;0;
Förderung;1;0;0;0;0;0;0;0;0;0;
Förderung;1;0;0;0;0;0;0;0;0;0;
Formalität;0;0;0;0;0;0;0;0;0;1;
Formel;1;0;0;0;0;0;0;0;0;1;
formlos;0;1;0;0;0;0;0;0;0;0;
Fort;0;0;0;0;0;0;0;0;0;1;
fortfahrend;0;0;0;1;0;0;0;0;0;0;
fortgeschritten;1;0;0;0;0;0;0;0;0;0;
Fortschritt;1;0;0;0;0;0;0;0;0;0;
Fortschritt;1;0;0;1;0;0;1;0;0;0;
fortsetzen;1;0;0;1;0;0;0;0;0;1;
Fortsetzung;0;0;0;1;0;0;0;0;0;0;
Foul;0;1;1;0;1;1;0;0;0;0;
Frage;1;0;0;0;0;0;0;0;0;0;
fraglich;0;1;0;0;1;0;0;0;0;0;
Fraktur;0;1;0;0;0;0;0;0;0;0;
frank;1;0;0;0;0;0;0;0;0;1;
frech;0;1;0;0;0;0;0;0;0;0;
frech;0;1;0;0;0;0;0;0;0;0;
Fregatte;0;0;0;0;0;1;0;0;0;0;
frei;1;0;0;0;0;0;1;0;0;1;
freigebig;1;0;0;1;0;0;1;0;0;0;
Freiheit;1;0;0;0;0;0;1;0;0;1;
Freiheit;1;0;0;1;0;0;1;0;1;1;
Freiwillige;0;0;0;0;0;0;0;0;0;1;
Freiwillige;1;0;0;1;0;1;1;0;0;1;
Freizeit;1;0;0;1;0;0;1;0;0;0;
Freizeit;1;0;0;1;0;0;1;0;1;1;
Fremdenfeindlichkeit;0;1;0;0;0;1;0;0;0;0;
Fremder;0;1;0;0;0;1;0;0;0;0;
frenetisch;0;1;1;0;0;1;0;0;1;0;
Fressen;0;1;0;0;0;0;0;0;0;0;
Freude;1;0;0;1;0;0;1;0;0;0;
Freund;1;0;0;0;0;0;1;0;0;1;
freundlich;1;0;0;1;0;0;1;0;0;1;
Freundlichkeit;1;0;0;0;0;0;0;0;0;0;
Freundlichkeit;1;0;0;0;0;0;1;0;0;1;
Freundschaft;1;0;0;0;0;0;1;0;0;1;
freundschaftlich;1;0;0;0;0;0;1;0;0;0;
Frieden;1;0;0;1;0;0;1;0;0;1;
Friedhof;0;1;0;0;0;1;0;1;0;0;
friedlich;1;0;0;0;0;0;0;0;0;0;
friedlich;1;0;0;1;0;0;1;0;1;1;
frivol;0;1;0;0;0;0;0;0;0;0;
froh;1;0;0;0;0;0;1;0;0;1;
froh;1;0;0;1;0;0;1;0;0;0;
fröhlich;1;0;0;0;0;0;1;0;0;0;
Fröhlichkeit;1;0;0;1;0;0;1;0;0;1;
fromm;1;0;0;0;1;0;0;1;0;1;
fromm;1;0;0;1;0;0;1;0;0;1;
Frömmigkeit;1;0;0;0;0;0;0;0;0;0;
Frömmler;0;1;1;0;1;1;0;0;0;0;
fruchtbar;1;0;0;0;0;0;0;0;0;0;
fruchtlos;0;1;0;0;0;0;0;1;0;0;
Frühling;1;0;0;0;0;0;1;0;0;0;
Frühstück;1;0;0;0;0;0;0;0;0;0;
Frustration;0;1;1;0;0;0;0;0;0;0;
frustriert;0;1;1;0;0;0;0;0;0;0;
Füchsin;0;1;0;0;0;0;0;0;0;0;
Fudge;0;1;0;0;0;0;0;0;0;0;
führen;1;0;0;0;0;0;0;0;0;0;
führen;1;0;0;0;0;0;0;0;0;1;
führend;0;0;0;0;0;0;0;0;0;1;
Führer;1;0;0;0;0;0;0;0;0;1;
Fülle;0;1;0;0;0;0;0;0;0;0;
Fülle;1;1;0;1;1;0;1;0;0;1;
füllen;0;0;0;0;0;0;0;0;0;1;
fummeln;0;1;0;0;0;0;0;0;0;0;
Fundament;0;0;0;0;0;0;0;0;0;1;
Funk;0;1;0;0;0;0;0;1;0;0;
funkeln;0;0;0;0;1;0;1;0;0;0;
funkeln;1;0;0;1;0;0;1;0;0;0;
funkeln;1;0;0;1;0;0;1;0;1;0;
Fürbitte;0;0;0;0;0;0;0;0;0;1;
Furche;0;0;0;0;0;0;0;1;0;0;
Furcht;0;1;1;0;0;1;0;0;0;0;
furchtbar;0;1;1;0;1;1;0;1;0;0;
furchtbar;0;1;1;0;1;1;0;1;0;0;
fürchten;0;1;0;1;0;1;0;0;0;0;
fürchterlich;0;0;0;0;0;0;0;1;0;0;
furchtlos;1;0;0;0;0;1;0;0;0;0;
furchtsam;0;1;0;0;0;1;0;1;0;0;
Furor;0;1;1;0;0;0;0;0;0;0;
Fürsprache;0;0;0;0;0;1;0;1;0;0;
fürstlich;1;0;0;1;0;0;1;0;1;1;
Fußball;1;0;0;1;0;0;1;0;0;0;
Fussel;0;1;0;0;0;0;0;0;0;0;
Fußgänger;0;1;0;0;0;0;0;0;0;0;
Futter;0;1;0;0;0;0;0;0;0;0;
gaffen;0;0;0;0;0;0;0;0;1;0;
Gag;0;1;0;0;1;0;0;0;0;0;
gähnen;0;1;0;0;0;0;0;0;0;0;
Gähnen;0;1;0;0;0;0;0;0;0;0;
galant;1;0;0;0;0;0;0;0;0;0;
Galanterie;1;0;0;0;0;0;0;0;0;0;
Galgen;0;1;1;0;0;1;0;1;0;0;
Galle;0;1;1;0;1;0;0;0;0;0;
Galle;0;1;1;0;1;0;0;0;0;0;
Gammler;0;1;0;0;1;0;0;1;0;0;
Gang;0;1;1;0;0;1;0;0;0;0;
Garantie;1;0;0;0;0;0;0;0;0;1;
Garantie;1;0;0;0;0;0;0;0;0;1;
Garnierung;0;1;0;0;0;0;0;0;0;0;
Garnison;1;0;0;0;0;0;0;0;0;1;
Garten;1;0;0;0;0;0;1;0;0;0;
Gastfreundschaft;1;0;0;0;0;0;0;0;0;0;
Gauge;0;0;0;0;0;0;0;0;0;1;
Gauner;0;1;0;0;0;0;0;0;0;0;
Gazette;1;0;0;0;0;0;0;0;0;1;
Gebäck;1;0;0;0;0;0;1;0;0;0;
Gebärmutter;1;0;0;0;0;0;0;0;0;0;
Gebäude;1;0;0;0;0;0;0;0;0;0;
geben;1;0;0;0;0;0;0;0;0;0;
gebildet;1;0;0;0;0;0;0;0;0;0;
Gebläse;0;1;0;0;0;0;0;0;0;0;
gebraucht;0;1;0;0;0;0;0;0;0;0;
gebräunt;1;0;0;0;0;0;0;0;0;0;
Gebrechen;0;1;0;0;0;1;0;0;0;0;
Gebrechen;0;1;0;0;1;1;0;1;0;0;
gebrechlich;0;1;0;0;0;0;0;0;0;0;
Gebrechlichkeit;0;1;0;0;0;0;0;1;0;0;
gebrochen;0;1;1;0;0;1;0;1;0;0;
Gebühr;0;1;1;0;0;0;0;0;0;0;
gebührend;1;0;0;0;0;0;0;0;0;0;
gebührenpflichtig;0;1;0;0;0;1;0;1;0;0;
gebunden;0;1;0;0;0;0;0;0;0;0;
Geburt;1;0;0;1;0;1;1;0;0;1;
Geburtshelfer;0;0;0;0;0;0;0;0;0;1;
Geburtshilfe;1;0;0;0;0;0;0;0;0;0;
Geburtsort;0;1;1;0;0;0;0;0;0;0;
Geburtstag;1;0;0;1;0;0;1;0;1;0;
gedankenlos;0;1;1;0;1;0;0;0;0;0;
gedeihen;1;0;0;1;0;0;1;0;0;0;
gedemütigt;1;0;0;0;0;0;0;1;0;0;
Gedenk-;1;0;0;1;0;0;0;0;0;0;
gedenken;1;0;0;1;0;0;1;1;0;0;
Gedenkfeier;1;0;0;1;0;0;1;0;0;0;
geduldig;1;0;0;1;0;0;0;0;0;0;
geeignet;1;0;0;0;0;0;0;0;0;0;
geeignet;1;0;0;0;0;0;0;0;0;0;
geerdet;0;1;0;0;0;1;0;1;0;0;
Gefahr;0;1;0;0;0;1;0;0;0;0;
Gefahr;0;1;0;1;0;1;0;0;0;0;
gefährden;0;1;0;1;0;1;0;0;0;0;
gefährden;0;1;1;0;0;1;0;0;0;0;
gefährdet;0;1;0;0;0;1;0;0;0;0;
gefährlich;0;1;0;0;0;1;0;0;0;0;
gefährlich;0;1;0;1;0;1;0;1;0;0;
Gefährte;1;0;0;0;0;0;0;0;0;1;
gefälscht;0;1;1;0;1;0;0;0;0;0;
gefangen;0;1;0;0;0;1;0;1;0;0;
Gefangenschaft;0;1;0;0;0;0;0;1;0;0;
Gefängnis;0;1;0;0;0;1;0;1;0;0;
Gefängnis;0;1;1;0;0;1;0;1;0;0;
Gefasel;0;1;0;0;1;0;0;0;0;0;
Gefecht;0;1;1;0;0;1;0;0;0;0;
gefeiert;1;0;0;1;0;0;1;0;0;0;
gefräßig;0;1;1;0;0;1;0;1;0;0;
Gefühl;1;1;1;1;1;1;1;1;1;1;
gefühllos;0;1;1;0;1;0;0;0;0;0;
gefunden;1;0;0;0;0;0;1;0;0;1;
gegen;0;1;1;0;0;0;0;0;0;0;
Gegend;0;0;0;1;0;0;0;0;0;0;
Gegenmittel;1;0;0;1;0;0;0;0;0;1;
gegenseitige;1;0;0;0;0;0;0;0;0;0;
Gegenstand;0;1;0;0;0;0;0;0;0;0;
Gegenteil;0;1;0;0;0;0;0;0;0;0;
Gegenwart;1;0;0;0;0;0;0;0;0;0;
Gegner;0;1;1;1;1;1;0;0;0;0;
Gehackt;0;1;1;0;0;1;0;0;0;0;
Gehalt;1;0;0;1;0;0;1;0;0;1;
gehärtet;0;1;1;0;1;1;0;0;0;0;
gehässig;0;1;1;0;0;0;0;0;0;0;
geheim;0;0;0;0;0;0;0;0;0;1;
Geheimhaltung;0;0;0;0;0;0;0;0;1;1;
Geheimnis;0;0;0;0;0;0;0;0;0;1;
Geheimnis;0;0;0;1;0;0;0;0;1;0;
geheimnisvoll;0;1;0;0;0;0;0;0;0;0;
geheimnisvoll;0;0;0;1;0;1;0;0;1;0;
Gehirne;1;0;0;0;0;0;0;0;0;0;
Gehirnerschütterung;0;1;1;0;0;0;0;1;0;0;
gehorchen;0;0;0;0;0;1;0;0;0;1;
Gehorsam;1;0;0;0;0;0;0;0;0;1;
Geier;0;1;0;0;1;1;0;0;0;0;
Geisel;0;1;1;0;0;1;0;0;0;0;
Geißel;0;1;1;0;0;1;0;1;0;0;
Geist;0;0;0;0;0;1;0;0;0;0;
Geist;1;0;0;0;0;0;0;0;0;0;
geistesgestört;0;1;1;0;1;1;0;0;0;0;
geistig;1;0;0;0;0;0;0;0;0;0;
geizig;0;1;1;0;1;1;0;1;0;0;
geknackt;0;1;1;0;0;1;0;0;0;0;
Gekritzel;0;1;0;0;0;0;0;0;0;0;
gelähmt;0;1;1;0;0;1;0;1;1;0;
gelandet;1;0;0;0;0;0;0;0;0;0;
Gelassenheit;1;0;0;0;0;0;0;0;0;0;
Gelassenheit;1;0;0;0;0;0;0;0;0;0;
Gelassenheit;1;0;0;1;0;0;1;0;0;1;
Gelatine;0;0;0;0;1;0;0;0;0;0;
Gelb;0;1;0;0;0;0;0;0;0;0;
Gelbsucht;0;1;0;0;0;1;0;0;0;0;
Geld;1;0;0;1;0;0;0;0;0;0;
Geld;1;0;1;1;0;0;1;0;1;1;
Gelegenheit;1;0;0;1;0;0;0;0;0;0;
gelegentlich;0;0;0;0;0;0;0;0;1;0;
gelehrt;1;0;0;0;0;0;0;0;0;0;
Gelehrte;1;0;0;0;0;0;0;0;0;0;
gelingen;1;0;0;1;0;0;1;0;1;1;
gelobt;1;0;0;0;0;0;1;0;0;0;
Gelübde;1;0;0;1;0;0;1;0;0;1;
gemächlich;1;0;0;0;0;0;0;0;0;0;
Gemahlin;0;0;0;0;0;0;0;0;0;1;
gemäßigt;0;0;0;0;0;0;0;0;0;1;
Gemeinde;0;0;0;0;0;0;0;0;0;1;
Gemeinde;1;0;0;0;0;0;0;0;0;1;
gemeinsam;1;0;0;0;0;0;0;0;0;1;
Gemeinschaft;1;0;0;0;0;0;0;0;0;0;
Gemeinschaft;1;0;0;0;0;0;0;0;0;0;
Gemeinschaft;1;0;0;0;0;0;1;0;0;1;
gemessen;1;0;0;0;0;0;0;0;0;1;
Gemetzel;0;1;1;0;1;1;0;1;1;0;
gemütlich;1;0;0;0;0;0;0;0;0;0;
gemütlich;1;0;0;0;0;0;1;0;0;0;
genau;1;0;0;0;0;0;0;0;0;1;
genehmigen;1;0;0;0;0;0;1;0;0;1;
genehmigend;1;0;0;0;0;0;0;0;0;0;
Genehmigung;1;0;0;0;0;0;0;0;0;0;
Genehmigung;1;0;0;0;0;0;0;0;0;0;
Genehmigung;1;0;0;0;0;0;0;0;0;1;
genial;1;0;0;0;0;0;0;0;0;0;
genial;1;0;0;0;0;0;1;0;0;0;
genießen;1;0;0;1;0;0;1;0;0;1;
genießen;1;0;0;1;0;0;1;0;0;1;
genießen;1;0;0;1;1;0;1;1;0;1;
genießt;1;0;0;0;0;0;1;0;0;0;
Genius;1;0;0;0;0;0;0;0;0;0;
Genosse;1;0;0;0;0;0;0;0;0;1;
Gentleman;1;0;0;0;0;0;0;0;0;1;
Gentry;1;0;0;0;0;0;0;0;0;1;
gepanzert;0;0;0;0;0;1;0;0;0;0;
gequält;0;1;0;0;0;0;0;0;0;0;
geradeheraus;0;0;0;0;0;0;0;0;0;1;
Gerangel;0;1;1;0;1;1;0;1;0;0;
Geranie;1;0;0;0;0;0;0;0;0;0;
geräumig;1;0;0;0;0;0;0;0;0;0;
gerecht;1;0;0;0;0;0;0;0;0;0;
gerechtfertigt;1;0;0;0;0;0;0;0;0;1;
Gerechtigkeit;1;0;0;0;0;0;0;0;0;1;
geriatrisch;0;1;0;0;0;0;0;1;0;0;
Gericht;0;0;1;1;0;1;0;0;0;0;
Gericht;0;1;0;1;1;1;0;0;0;1;
gerichtlich;1;0;0;1;0;0;0;0;0;1;
Gerichtsmediziner;0;1;0;0;0;0;0;0;0;0;
Gerichtsvollzieher;0;1;0;0;0;1;0;0;0;1;
gerieben;0;1;1;0;0;0;0;0;0;0;
geringer;0;1;0;0;1;0;0;0;0;0;
gerissen;1;1;0;0;0;0;0;0;0;0;
gern;1;0;0;1;0;0;1;0;0;1;
Geruch;0;1;0;0;0;0;0;0;0;0;
Geruch;0;1;1;0;1;0;0;0;0;0;
Gerücht;0;1;0;0;0;0;0;1;0;0;
Gerüst;0;1;0;0;0;1;0;0;0;0;
Gesang;1;0;1;1;0;0;1;0;1;0;
gesättigt;0;1;0;0;1;0;0;0;0;0;
Geschäft;1;0;0;1;0;0;0;0;0;0;
geschehen;0;0;0;1;0;0;0;0;0;0;
Geschenk;1;0;0;1;0;0;1;0;1;0;
Geschenk;1;0;0;1;0;0;1;0;1;1;
Geschenk des Himmels;1;0;0;0;0;0;1;0;1;0;
Geschichte;1;0;0;0;0;0;0;0;0;0;
Geschicklichkeit;1;0;0;0;0;0;0;0;0;0;
geschickt;1;0;0;0;0;0;0;0;0;0;
geschickt;1;0;0;0;0;0;0;0;0;1;
geschlagen;0;0;0;0;0;0;0;1;0;0;
geschlagen;1;0;0;0;0;0;0;0;0;0;
Geschmack;1;0;0;0;0;0;1;0;0;1;
geschmacklos;0;1;0;0;1;0;0;0;0;0;
geschmacklos;0;1;0;0;1;0;0;0;0;0;
geschmackvoll;1;0;0;0;0;0;0;0;0;0;
geschmeidig;1;0;0;0;0;0;0;0;0;0;
geschmiedet;0;1;0;0;0;0;0;0;0;0;
geschraubt;0;1;1;0;0;0;0;0;0;0;
Geschrei;0;1;1;1;1;0;0;0;1;0;
geschrumpft;0;1;0;0;0;0;0;0;0;0;
geschuldet;0;1;1;1;1;1;0;1;0;1;
geschützt;0;0;0;0;0;0;0;0;0;1;
geschwächt;0;1;0;0;0;0;0;0;0;0;
geschwollen;0;1;0;0;0;0;0;0;0;0;
geschwollen;0;1;0;0;0;0;0;0;0;0;
Geschwür;0;1;1;0;1;1;0;1;0;0;
gesegnet;1;0;0;0;0;0;1;0;0;0;
Geselle;0;0;0;0;0;0;0;0;0;1;
gesellig;1;0;0;0;0;0;0;0;0;0;
gesellig;1;0;0;0;0;0;0;0;0;0;
Gesetzgeber;0;0;0;0;0;0;0;0;0;1;
Gesetzlosigkeit;0;1;1;0;0;1;0;0;0;0;
Gespenst;0;1;0;0;0;1;0;1;0;0;
gespenstisch;0;1;0;0;0;1;0;0;0;0;
gesperrt;0;1;0;0;0;0;0;0;0;0;
gesprächig;1;0;0;0;0;0;0;0;0;0;
gesprächig;0;1;0;0;0;0;0;0;0;0;
gesprochen;0;1;0;0;0;0;0;0;0;0;
Gestalt;0;1;0;0;0;0;0;0;0;0;
gestalten;1;0;0;0;0;0;0;0;0;0;
Gestell;0;1;0;0;0;0;0;1;0;0;
gestohlen;0;1;1;0;0;0;0;0;0;0;
gestört;0;1;1;0;0;0;0;1;0;0;
gestrandet;0;1;0;0;0;0;0;0;0;0;
gestrandet;0;1;0;0;0;0;0;0;0;0;
gestrichelt;0;1;1;0;0;1;0;1;0;0;
gesund;1;0;0;0;0;0;0;0;0;0;
gesund;1;0;0;0;0;0;0;0;0;0;
gesund;1;0;0;0;0;0;0;0;0;1;
gesund;1;0;0;0;0;0;1;0;0;0;
gesundheitsschädlich;0;1;1;0;0;1;0;1;0;0;
gesunken;0;1;0;0;1;1;0;1;0;0;
getarnt;0;0;0;0;0;0;0;0;1;0;
getragen;0;1;0;0;0;0;0;1;0;0;
Getränk;1;0;0;0;0;0;0;0;0;0;
getrennt;0;1;0;0;0;0;0;1;0;0;
getrübt;0;1;0;0;0;0;0;1;0;0;
geübt;1;0;0;0;0;0;1;0;1;1;
gewagt;1;0;0;0;0;0;0;0;0;0;
gewählt;1;0;0;0;0;0;0;0;0;0;
gewähren;1;0;0;1;0;0;1;0;0;1;
gewährt;1;0;0;0;0;0;0;0;0;0;
Gewalt;0;1;1;0;0;1;0;1;0;0;
gewaltig;0;0;0;0;0;1;0;0;0;0;
gewaltsam;0;1;1;0;0;1;0;0;0;0;
gewarnt;0;0;0;1;0;1;0;0;1;0;
Gewehr;0;1;1;0;0;1;0;0;0;0;
Gewehr;0;1;1;0;0;1;0;0;0;0;
Gewicht;1;0;0;1;0;1;0;0;0;0;
Gewicht;1;1;0;1;1;1;1;1;1;1;
gewichtig;0;0;0;0;0;1;0;0;0;0;
Gewinn;1;0;0;1;0;0;1;0;0;0;
gewinnen;1;0;0;1;0;0;1;0;0;0;
gewinnen;1;0;0;1;1;0;1;1;1;1;
Gewinner;1;0;0;1;0;0;1;0;1;0;
Gewinnung;1;0;0;0;0;0;0;0;0;0;
Gewissen;1;0;0;0;0;0;0;0;0;1;
gewissenhaft;1;0;0;0;0;0;0;0;0;1;
Gewohnheit;0;0;0;1;0;0;0;0;0;0;
